Author,ID
Jieyu Ding,2081923667
Qiusi Sun,47632726
Jingwen Zhang,47132201
Mahmoudreza Babaei,1818176
Juhi Kulshrestha,2709512
Abhijnan Chakraborty,2676839
Elissa M,102544229
Alexandre Bovet,40685732
Hernan Makse,146086915
Ziv Epstein,4615706
Mohsen Mosleh,79792994
Antonio Arechar,9549601
Gordon Pennycook,2998138
David Rand,144221261
Gustavo Jota Resende,1402231354
Philipe Melo,40594032
Hugo Sousa,2148467633
Johnnatan Messias,2066045434
Marisa Vasconcelos,2632256
Jussara Almeida,47288524
Fabrício Benevenuto,1869561
Kangsan Lee,2115496186
Jaehyuk Park,147016125
Yong-Yeol Ahn,No Search Result
Milan Janosov,51301358
Federico Battiston,2332167
Gerardo Iñiguez,2046254318
Federico Musciotto,8008695
Sophie Cho,1387727781
Michael Mauskapf,2229215
Susumu Nagayama,2060386071
Hitoshi Mitsuhashi,49713298
Ramona Roller,40199958
Frank Schweitzer,1733303
Chao Min,1752092
Yi Bu,82832669
Jianjun Sun,2145750848
Ying Ding,2207163
Frank van der Wouden,2117664415
Gianluca Carnabuci,2164871
Hyejin Youn,1783512
George Richardson,145399281
Juan Mateos-Garcia,No Search Result
Milad Abbasiharofteh,134345742
Tom Broekel,120578616
Benjamin Meindl,2080374433
Morgan R,47921254
Jacob Miller,2118098709
David Gefen,1736324
Kai Larsen,145798484
Vadake Narayanan,2118504953
Eszter Bokanyi,No Search Result
Aniko Hannak,46886279
Tarik Roukny,4342578
Benjamin Vandermarliere,3164658
Milan van den Heuvel,144811646
Koen Schoors,11042363
Yannick Léo,119821587
Eric Fleury,66813876
Carlos Sarraute,2064505395
Márton Karsai,2698329
Jaime Oliver,39740006
Marta Rivera-Alba,No Search Result
Diego Pérez,145240198
Antonio Molins,133632719
Edgar Morales Ramírez,70026185
Ricardo Buera Corchón,147889974
Judith Kas,1439702795
Rense Corten,49201881
Arnout van de Rijt,1749578
Marc Keuschnigg,145938210
Joris Broere,4130953
Vincent Buskens,2188748
Henk Stoof,6636071
Angel Sánchez,2109843111
Pradip Swarnakar,3436434
Satyam Mukherjee,40577876
Hendrik Nunner,87000325
Chris Janssen,49164724
Wojtek Przepiorka,48132375
Yan Leng,143611031
Xiaowen Dong,9342947
Alex Pentland,2069315974
Daniele Guariso,122195930
Omar Guerrero,145972803
Ulrich Matter,121896523
Joseph D,71227888
Manoel Horta Ribeiro,147915826
Kristina Gligoric,2127081453
Robert West,145655675
Chico Camargo,35618632
Scott Hale,115386309
Balazs Lengyel,102366016
Riccardo Di Clemente,7960003
János Kertész,2207387183
Marta González,47342599
Ronald Robertson,79993172
Christo Wilson,2111228581
David Lazer,3185333
Lorien Jasny,2575649
Dana Fisher,2478983
Philip Leifeld,9997588
Tim Henrichsen,123240682
Stiene Praet,107583198
Peter Van Aelst,147764309
David Martens,144166108
Quinten Meertens,68976104
Arnout van Delden,144781813
Sander Scholtus,2068430565
Frank Takes,2131145555
Emre Calisir,52164217
Marco Brambilla,47930228
No presentation (cancelled),No Search Result
Bedoor Alshebli,2446400
Talal Rahwan,1775071
Wei Lee Woon,2107408459
Aliakbar Akbaritabar,2128916708
Flaminio Squazzoni,1744513
Kinga Makovi,3237368
Jichao Li,2090820194
Yian Yin,2173159409
Santo Fortunato,2066014855
Dashun Wang,1490970698
Lu Liu,2145288227
Yang Wang,2146020957
Roberta Sinatra,47399811
C,2176024241
Zijian Wang,2117424175
David Adelani,2518906
Przemyslaw Grabowicz,1907673
Timo Hartmann,31429564
Fabian Flöck,66042341
David Jurgens,3046220
Thomas Baudin,2074978621
Robert Stelter,33978150
Daniel Ciganda,9820990
Nicolas Todd,2023811474
Ravi Bhavnani,1837968
Karsten Donnay,2488381
Mirko Reul,1395103544
Abigail Horn,3937517
Hanno Friedrich,40361521
Kayla de la Haye,8912718
Dmitry Zinoviev,2082578902
Gary Fireman,145795997
Spencer Hommel,1716200814
No presentation: Ming Yin,No Search Result
Duncan Watts,2059772133
Marco De Nadai,151467651
Angelo Cardoso,2053039226
Antonio Lima,2072824108
Bruno Lepri,49305855
Nuria Oliver,2060131580
Alexandra Olteanu,30695829
Fernando Diaz,145472316
Gabriella Kazai,1688470
Luke Stark,2059052658
Mohamed Musbah,145489646
Maria Bolsinova,6171460
Matthieu Brinkhuis,47369965
Abe Hofman,32172711
Han van der Maas,70471077
Gunter Maris,2897109
Sanja Hajdinjak,107795856
Marcella Morris,40196311
Tyler Amos,1506812383
Anna Shirokanova,41127197
Olga Silyutina,116693203
Johannes Wachs,39748526
Taha Yasseri,1985987
Janos Kertesz,2064780005
Isak Ladegaard,66824667
Anna Di Natale,7933719
David Garcia,2150290128
Kiran Garimella,2005765789
Ashton Anderson,32071555
Felix Victor Münch,101726506
Ben Thies,153451463
Cornelius Puschmann,70224648
Axel Bruns,84289130
Jan Overgoor,2943419
Bogdan State,2632078
Lada Adamic,1778398
Alexander Robertson,2070173005
Walid Magdy,145784687
Sharon Goldwater,1991315
Jisun An,150906346
Gianmarco De Francisci Morales,35168570
Haewoon Kwak,2592694
Yelena Mejova,3329961
Adam Pah,3461693
John Hagan,2071242659
Luis Amaral,145380546
Johannes Gruber,2060423233
Erdem Yörük,133934946
Ali Hürriyetoğlu,79828215
Çağrı Yoltar,80442103
Fırat Duruşan,1912123157
Amit Sharma,2109647303
Jake Hofman,40368603
No presentation: Youyou Wu,No Search Result
Yang Yang,2152916230
Brian Uzzi,1838478
Forough Poursabzi-Sangdeh,No Search Result
Dan Goldstein,2054694496
Jennifer Wortman Vaughan,147171110
Hanna Wallach,1831395
Jessica Hullman,3159918
Chung-Hong Chan,No Search Result
Joseph Bajjalieh,113404529
Loretta Auvil,144526907
Hartmut Wessler,3165804
Scott Althaus,3642680
Kasper Welbers,2065672229
Wouter van Atteveldt,1656681148
Nitin Bhushan,117386123
Laura Bringmann,1935592
Casper Albers,2165057893
Linda Steg,2071682401
Ching Jin,2108459775
Chaoming Song,2116052969
Johannes Bjelland,49367064
Geoffrey Canright,2971386
Yohsuke Murase,2917718
Janos Török,48075419
Hang-Hyun Jo,No Search Result
Kimmo Kaski,145670814
Alexandru-Ionut Babeanu,No Search Result
Jorinde van de Vis,31473146
Diego Garlaschelli,2322015
Ivan Garibay,1769316
Madeline Schiappa,1470726743
Georgios Anagnostopoulos,31443823
Christina Bouwens,49140204
Stephen M,145627416
Martin Hilbert,144212002
Dirk Van Rooy,1422561553
Dimitrios Milioris,2065563176
Marc-Etienne Brunet,No Search Result
Richard Zemel,1804104
Philippa Shoemark,2132856
Farhana Ferdousi Liza,3445542
Dong Nguyen,1490777841
Barbara McGillivray,2381040
Zoltán Kmetty,3803776
Júlia Koltai,144377755
Tamás Rudas,1884131
David Rozado,46787843
Ivan Smirnov,2086178147
Lukas Fervers,2102720733
Janina Beckmann,143771423
Joachim Piepenburg,2120926430
Marita Jacob,24502746
Takanori Nishida,5241662
Yoshiki Ishikawa,2067674647
Esteban Moro,37308372
Morgan Frank,47526637
Alex Rutherford,47193909
Manuel Cebrian,145512648
Iyad Rahwan,1705156
Hee Youn Kwon,86952290
Lijun Sun,2110717605
Cesar Hidalgo,50609891
Christos Nicolaides,39634853
Dean Eckles,1996878
William Cai,2113721197
Johan Ugander,144584024
Abhishek Samantray,52135517
Massimo Riccaboni,1953900
Tara Sowrirajan,118236823
Marcin Waniek,2681493
César Hidalgo,145781388
Aamena Alshamsi,6466660
Philipp Lorenz-Spreen,No Search Result
Bjarke Mørch Mønsted,103151696
Philipp Hövel,2426105
Sune Lehmann,2068824507
Cristian Candia Vallejos,No Search Result
Cristian Jara Figueroa,2067928556
Carlos Rodriguez Sickert,1403087742
Albert Laszlo Barabasi,1450871945
Rebekah Tromble,40944409
Charles Howland,118961615
David Rothschild,2064849037
Marcel Wittich,114544358
Jennifer Allen,49919119
Melissa Ellamil,144490412
Markus Mobius,2402406
Subhayan Mukerjee,117182555
Yuan Tian,1387677530
