,Community,Degree
1678244,0,3
2950213,0,15
8179569,0,2
143906534,0,3
1678397,1,1
144629886,1,1
1678460,2,5
1703601,2,5
1760810,2,5
1767493,2,5
1776476,2,25
2023275,2,5
1678535,0,1
1389920075,0,8
1678622,3,3
1709005,3,3
9571638,3,3
143640165,3,3
1680082,4,7
1712423,4,36
1732913,4,7
9602006,4,7
40016674,4,8
40052301,4,7
143604617,4,16
144576794,4,6
1680100,5,2
39775087,5,1
1489125592,5,1
1680158,6,4
1690892,6,7
1947710,6,4
145164644,6,4
2068335654,6,4
1681836,7,2
1697703,8,5
1829115,9,1
1844852,9,12
1890113,10,0
2159730,9,4
2192921,7,4
2670187,8,5
2692274,8,5
3106046,8,5
32861190,8,5
34827715,11,7
39556143,12,1
39710593,12,1
39887691,7,2
143667081,8,5
145280613,9,16
145301662,9,4
1403171029,9,18
1406761192,9,4
1453594539,9,4
1666605207,11,1
2033632163,7,2
2109208547,7,2
1680327,13,3
2046500,13,3
1388775854,13,4
1389957009,13,5
1680329,14,0
1680697,15,1
1724322,15,1
1680870,16,3
2117571,16,3
46242252,16,3
145712627,16,3
2216258,17,5
5845996,17,5
6199133,17,5
36333686,17,5
1421788668,17,5
2078778906,17,5
1681367,2,2
7405787,2,6
49577927,2,2
1681816,18,4
2378569,18,7
40486307,18,9
1569105854,18,4
2066468333,18,4
1682005,19,5
1994279,19,3
2201886,19,2
3407365,19,8
33343719,19,3
35880803,19,2
1682591,20,5
1698701,20,5
2452441,20,7
46202504,20,5
152864672,20,5
1491182570,20,5
1682754,21,0
1683716,22,2
1684412,2,4
1697944,2,1
1714002,23,5
1715670,2,4
1716356,24,1
1724372,2,5
1743652,25,3
1744895,26,14
1752504,27,1
1764521,2,5
1767077,2,11
1786309,2,3
1824816,2,8
1851304,26,6
1862717,28,1
2002210,23,2
2002429,2,2
2132924,29,4
2139286,30,3
2145367,31,2
2414047,32,15
2508373,2,3
2653464,2,3
2697656,2,3
2938999,33,2
2995615,30,1
3085084,27,1
3284542,33,3
3355580,34,3
4630760,2,5
4726839,34,2
5854600,26,4
6085131,35,4
6754112,30,6
7400876,2,7
9338703,30,2
11020726,33,2
11148212,23,2
11374925,36,4
11388466,35,10
26884214,31,2
32241170,2,4
33747970,9,5
34234314,25,3
34835999,2,2
35458205,30,10
36663090,37,12
38451395,9,14
39292509,35,4
39711148,25,5
39760216,2,8
40025432,30,15
40315411,33,4
40348583,34,2
40429226,2,2
40619244,23,3
40900290,30,1
46230920,29,1
46244214,2,3
47538483,2,2
47974933,2,5
48071255,2,4
50468465,35,4
50985185,36,4
51126583,2,5
73770618,30,6
80273596,26,16
82161246,38,3
98514202,22,1
104777609,39,1
113917161,23,3
114729198,23,3
143629283,31,2
143782314,30,5
143824243,2,1
144133315,31,11
144724775,2,2
144810616,26,4
145188857,35,4
145327386,2,4
145512647,30,28
145641525,28,1
145709776,2,5
145802163,30,6
150976132,24,1
152664357,2,1
1399507912,32,9
1403025860,40,3
1403029865,33,2
1405409593,30,6
1406421551,40,10
1409505343,41,2
1414112810,36,4
1414148536,36,4
